filename, language, JavaScript, Markdown, JSON, Properties, Batch, Groovy, Objective-C, C++, Shell Script, Diff, Ruby, XML, Java, comment, blank, total
/Users/mikaelderagon/git/sembly/src/containers/Welcome/SignupView.js, JavaScript, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 258
/Users/mikaelderagon/git/sembly/src/containers/Welcome/index.js, JavaScript, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
/Users/mikaelderagon/git/sembly/src/containers/index.js, JavaScript, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
/Users/mikaelderagon/git/sembly/src/domain/Business.js, JavaScript, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 62
/Users/mikaelderagon/git/sembly/src/domain/Category.js, JavaScript, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
/Users/mikaelderagon/git/sembly/src/domain/Comment.js, JavaScript, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
/Users/mikaelderagon/git/sembly/src/domain/Event.js, JavaScript, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 65
/Users/mikaelderagon/git/sembly/src/domain/FeedData.js, JavaScript, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 38
/Users/mikaelderagon/git/sembly/src/domain/Location.js, JavaScript, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
/Users/mikaelderagon/git/sembly/src/domain/Post.js, JavaScript, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 75
/Users/mikaelderagon/git/sembly/src/domain/User.js, JavaScript, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
/Users/mikaelderagon/git/sembly/src/domain/_mockFeed.json, JSON, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 79
